id,title,artist,album_idkj,duration,track_number,audio_url,created_at,image_url,song_id,genre,isTop,song_lyrics,processed,play_count,tempo,chroma,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,zero_crossing_rate,rms,mfcc,artist_id,plays,album_id,language,release_year,energy,valence,danceability,acousticness,instrumentalness,lyrics_in_eng,file_identifier,image_identifier,updated_at,lyrics_in_english
01b1f956-8d62-4f0c-ab5c-427a898f0c2e,My Oh My (feat. DaBaby),Camila Cabello/DaBaby,27cdf5a8-8981-4df6-b6b8-88e13ad806ba,,,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/songs/My_Oh_My__feat._DaBaby_.mp3?,2025-03-19 17:31:49.96255+00,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/images/My_Oh_My__feat._DaBaby_.jpg?,60696c09-85d6-4db0-9bc2-5979d2e6847a,pop,,,false,,103.359375,"[0.4277092516422272,0.3368353247642517,0.46078529953956604,0.4201339781284332,0.3062794804573059,0.3093315362930298,0.3361136317253113,0.5216043591499329,0.40643176436424255,0.34239330887794495,0.31050434708595276,0.32644206285476685]",2261.676813,2393.274641,"[21.300720630718644,18.535180931186403,20.105182002544932,19.57516722639302,19.56394003426574,19.356101282168172,45.96856643198552]",0.021849494,0.097704852,0.251057833,"[-76.66248321533203,89.75169372558594,-2.6628623008728027,22.44091796875,5.037441253662109,16.4128360748291,15.323606491088867,4.283357620239258,13.024140357971191,6.390644073486328,3.1740992069244385,4.549920558929443,4.473254203796387,3.7169148921966553,-1.8674302101135254,5.221411228179932,-2.757115125656128,5.955325126647949,-0.8894439935684204,5.337104797363281]",,0,746037e8-0c1a-4da2-bf19-1a01673adb78,,2019,0.75,0.65,0.8,0.1,0.01,,,,,
0261d8eb-5ee4-4533-907e-126d628619e6,Rolling in the Deep,Adele,27cdf5a8-8981-4df6-b6b8-88e13ad806ba,,,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/songs/Rolling_in_the_Deep.mp3?,2025-03-19 17:31:49.96255+00,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/images/Rolling_in_the_Deep.jpg?,76631e74-7699-42a6-8d2e-0b05bd29a30c,pop soul,,,false,,103.359375,"[0.4626992642879486,0.2903934419155121,0.3075745403766632,0.30319491028785706,0.23852789402008057,0.29803770780563354,0.32437992095947266,0.43335795402526855,0.33153030276298523,0.3198624551296234,0.40666645765304565,0.3703092336654663]",2341.824728,2623.92057,"[23.184842375001157,16.105960302210306,18.624438179073177,18.961898240668766,19.17801382692497,18.811616450845996,47.52118030076463]",0.017359708,0.089358302,0.255973041,"[-56.56509017944336,89.39190673828125,4.2115678787231445,20.386152267456055,13.134598731994629,8.871708869934082,5.128493309020996,7.445811748504639,0.15346527099609375,7.247784614562988,-6.889580249786377,6.529858112335205,-4.667318344116211,4.897804260253906,1.4041870832443237,-2.0363550186157227,0.1317838430404663,-0.8279025554656982,-4.6502556800842285,3.8030078411102295]",,0,746037e8-0c1a-4da2-bf19-1a01673adb78,,2011,0.75,0.4,0.65,0.2,0.01,,,,,
02b1c5ff-0769-4998-a97c-e2149f5cfdad,Gently (feat. Bad Bunny),Drake,,,,,2025-06-29 09:13:16.401982+00,https://upload.wikimedia.org/wikipedia/en/For_All_the_Dogs.jpg,f32ddb14-cecc-437e-8e4a-c293a6229d3f,,,,false,,,,,,,,,,,,0,,,,,,,,,,,,,
05eb9b43-e316-466c-9365-8f82c61f4625,Faith,The Weekend,d5ae8b55-828e-4f4d-beec-d4db56eb19fd,13500,1,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/songs/Faith.mp3,2024-12-01 18:33:43.637226+00,,36cae158-1d65-473f-ae13-5e0df8d3e4a3,r&b,,,false,,89.10290948,"[0.46811628341674805,0.27512887120246887,0.3631283938884735,0.37801191210746765,0.28614577651023865,0.4092709720134735,0.3190537095069885,0.5363067388534546,0.3812222480773926,0.33516764640808105,0.46181195974349976,0.34891247749328613]",1770.743865,1942.491379,"[21.799905944013936,16.129027851411003,18.597487087035248,17.720497545186586,18.25681208713645,21.25805769690137,47.66804476892985]",0.011548537,0.074526099,0.084430717,"[-181.58621215820312,118.76811218261719,-13.667852401733398,11.75969123840332,1.9487659931182861,-1.5899683237075806,2.674427032470703,-0.5264005064964294,-10.989160537719727,4.665295124053955,-7.758346080780029,-1.34894859790802,-5.387972354888916,1.5668185949325562,-5.299619197845459,1.5772396326065063,-1.9381736516952515,0.7412811517715454,-2.7870614528656006,5.166340351104736]",,0,,,2020,0.65,0.45,0.7,0.15,0.05,,,,,
092e9e80-37b3-47fc-827e-8b2a3bb59546,Blank Space (Taylor's Version),Taylor Swift,,,,,2025-06-29 09:13:16.401982+00,https://upload.wikimedia.org/wikipedia/en/1989_%28Taylor%27s_Version%29.png,96cc48e0-f64d-43ee-8215-7cd43a369508,,,,false,,,,,,,,,,,,0,02e7ac34-8382-4f1c-82e6-0c902f2046a9,,,,,,,,,,,,
0968ad99-a9c0-41a8-a5c7-9d21999de5ed,Ghost,The Weekend,d5ae8b55-828e-4f4d-beec-d4db56eb19fd,13500,2,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/songs/Ghost.mp3,2024-12-01 18:09:12.483583+00,,17bf8a3a-1a87-4dd4-b586-8b056a8649a1,r&b,,,false,,103.359375,"[0.23048001527786255,0.3730158805847168,0.5517300367355347,0.30671393871307373,0.33507218956947327,0.24959099292755127,0.39754223823547363,0.30695608258247375,0.30547642707824707,0.46143946051597595,0.301577627658844,0.3366629481315613]",1764.816002,2013.896201,"[25.246408777865078,16.015691423633662,19.488299970673665,19.253573109649484,20.090804703488956,19.62097872516826,46.52438763697768]",0.01102908,0.074533469,0.176027626,"[-140.64755249023438,114.94989776611328,-0.38761329650878906,10.25007438659668,6.465071201324463,4.778058052062988,-3.8012592792510986,-1.7965059280395508,-5.30418062210083,1.0142192840576172,-5.0343098640441895,-1.121482014656067,-5.870096683502197,-1.923842191696167,-5.481966495513916,-4.194747447967529,-7.038852214813232,-0.5104938745498657,-5.138922691345215,-2.4566807746887207]",,0,,,2020,0.65,0.45,0.7,0.15,0.05,,,,,
099d1844-6ad5-4483-b745-ce3362447a72,Sharks,Imagine Dragons,27cdf5a8-8981-4df6-b6b8-88e13ad806ba,,,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/songs/Sharks.mp3?,2025-03-19 17:31:49.96255+00,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/images/Sharks.jpg?,49d79803-214f-4908-953b-58f56efb19fc,alternative rock,,,false,,123.046875,"[0.4735593795776367,0.48144111037254333,0.4098682403564453,0.4429432451725006,0.46285462379455566,0.5142971873283386,0.43430981040000916,0.3637394607067108,0.3823580741882324,0.4171183407306671,0.5227156281471252,0.4631967842578888]",2509.333816,2559.534734,"[22.055231790970897,14.680011067233247,18.271230754179722,16.94575481642537,17.626374300521068,17.06692820551556,45.51658275759572]",0.035177872,0.09920484,0.263309568,"[-78.52857208251953,68.70182037353516,3.1746788024902344,29.95901107788086,10.945977210998535,11.206307411193848,-1.3771648406982422,10.34018611907959,0.46926525235176086,5.2333807945251465,4.152886867523193,4.510788917541504,1.0472052097320557,2.82149600982666,0.43072113394737244,4.514776229858398,-2.2725718021392822,-0.25696808099746704,-1.2839312553405762,2.249572277069092]",,0,746037e8-0c1a-4da2-bf19-1a01673adb78,,2018,0.8,0.6,0.65,0.1,0.02,,,,,
0b2d83c2-1ab4-42b4-8c77-bd9c4baa562a,Snowchild,The Weekend,d5ae8b55-828e-4f4d-beec-d4db56eb19fd,13500,7,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/songs/Snowchild.mp3,2024-12-01 18:09:12.483583+00,,87ccb86a-b9cc-45b6-a2fe-a2704f890eec,r&b,,,false,,73.828125,"[0.536555826663971,0.39962729811668396,0.4418686032295227,0.3321826756000519,0.49230679869651794,0.4205671548843384,0.3065583407878876,0.3588671088218689,0.2757422626018524,0.2827358841896057,0.234397292137146,0.30337002873420715]",2137.27064,2367.31589,"[20.434334583896614,16.787430639677375,19.54885849591738,19.007760065407286,19.317021853448363,18.762604286872097,46.04056543511901]",0.036990542,0.070271348,0.19076322,"[-124.45195007324219,99.18961334228516,25.690303802490234,19.785282135009766,9.407002449035645,7.834944248199463,-0.5724396705627441,4.765861511230469,-9.884064674377441,4.595126152038574,-2.0076842308044434,-1.5448986291885376,-1.949343204498291,3.015430450439453,-4.934009552001953,-3.0425589084625244,-7.400551795959473,-4.563455104827881,-7.117908000946045,1.2648036479949951]",,0,,,2020,0.65,0.45,0.7,0.15,0.05,,,,,
0ba90039-9bef-469d-8e4e-8eff3dfab526,Tell Me Straight,The Rolling Stones,,,,,2025-06-29 09:13:16.401982+00,https://upload.wikimedia.org/wikipedia/en/Hackney_Diamonds.jpg,aafa0e64-d1e9-44ca-9f45-b60769c80749,,,,false,,,,,,,,,,,,0,,,,,,,,,,,,,
0bf8a0b3-a84e-4c44-878b-ab4eadc0e887,The Journey - Demo,Imagine Dragons,bc3edb05-3f78-45f4-a0fa-288131b62571,,,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/songs/The Journey - Demo.mp3?,2025-03-18 13:55:13.037066+00,https://yaysfbsmvtyqpbfhxstj.supabase.co/storage/v1/object/public/images/The Journey - Demo.jpg?,9e2c5cb8-1a2a-4760-adf0-803e1296c693,alternative rock,,,false,,151.9990809,"[0.3804161250591278,0.44625046849250793,0.29819631576538086,0.38259756565093994,0.321348637342453,0.4804720878601074,0.4509730041027069,0.3625446557998657,0.5063517093658447,0.3645784854888916,0.40111398696899414,0.2748926281929016]",2334.668549,2436.560998,"[17.314728872428677,15.02051399076283,18.188567654057174,17.802330365455337,18.329737043995976,17.36941775466616,46.217220274471146]",0.040475309,0.112308004,0.227940843,"[-40.535343170166016,92.08759307861328,-6.102056503295898,15.212545394897461,2.1707475185394287,5.469032287597656,-5.116167068481445,3.8765721321105957,-3.4852099418640137,-0.31539398431777954,0.9044467210769653,-1.5926369428634644,-4.062260150909424,1.8079160451889038,-3.024446487426758,0.7622004747390747,-4.786186218261719,1.1185383796691895,-1.3530110120773315,1.7741905450820923]",,0,,,2018,0.8,0.6,0.65,0.1,0.02,,,,,
